description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
2 chipped sapphires -> flawed sapphire	1			0					2	gcb,qty=2							gfb																																																																																							0
2 flawed sapphires -> standard sapphire	1			0					2	gfb,qty=2							gsb																																																																																							0
2 standard sapphires -> flawless sapphire	1			0					2	gsb,qty=2							glb																																																																																							0
2 flawless sapphires -> perfect sapphire	1			0					2	glb,qty=2							gpb																																																																																							0
2 chipped topazes -> flawed topaz	1			0					2	gcy,qty=2							gfy																																																																																							0
2 flawed topazes -> standard topaz	1			0					2	gfy,qty=2							gsy																																																																																							0
2 standard topazes -> flawless topaz	1			0					2	gsy,qty=2							gly																																																																																							0
2 flawless topazes -> perfect topaz	1			0					2	gly,qty=2							gpy																																																																																							0
2 chipped emeralds -> flawed emerald	1			0					2	gcg,qty=2							gfg																																																																																							0
2 flawed emeralds -> standard emerald	1			0					2	gfg,qty=2							gsg																																																																																							0
2 standard emeralds -> flawless emerald	1			0					2	gsg,qty=2							glg																																																																																							0
2 flawless emeralds -> perfect emerald	1			0					2	glg,qty=2							gpg																																																																																							0
2 chipped diamonds -> flawed diamond	1			0					2	gcw,qty=2							gfw																																																																																							0
2 flawed diamonds -> standard diamond	1			0					2	gfw,qty=2							gsw																																																																																							0
2 standard diamonds -> flawless diamond	1			0					2	gsw,qty=2							glw																																																																																							0
2 flawless diamonds -> perfect diamond	1			0					2	glw,qty=2							gpw																																																																																							0
2 chipped skulls -> flawed skull	1			0					2	skc,qty=2							skf																																																																																							0
2 flawed skulls -> standard skull	1			0					2	skf,qty=2							sku																																																																																							0
2 standard skulls -> flawless skull	1			0					2	sku,qty=2							skl																																																																																							0
2 flawless skulls -> perfect skull	1			0					2	skl,qty=2							skz																																																																																							0
2 rune 01 -> rune 02	1			100					2	r01,qty=2							r02																																																																																							0
2 rune 02 -> rune 03	1			100					2	r02,qty=2							r03																																																																																							0
2 rune 03 -> rune 04	1			100					2	r03,qty=2							r04																																																																																							0
2 rune 04 -> rune 05	1			100					2	r04,qty=2							r05																																																																																							0
2 rune 05 -> rune 06	1			100					2	r05,qty=2							r06																																																																																							0
2 rune 06 -> rune 07	1			100					2	r06,qty=2							r07																																																																																							0
2 rune 07 -> rune 08	1			100					2	r07,qty=2							r08																																																																																							0
2 rune 08 -> rune 09	1			100					2	r08,qty=2							r09																																																																																							0
2 rune 09 -> rune 10	1			100					2	r09,qty=2							r10																																																																																							0
2 rune 10 -> rune 11	1			100					2	r10,qty=2							r11																																																																																							0
2 rune 11 -> rune 12	1			100					2	r11,qty=2							r12																																																																																							0
2 rune 12 -> rune 13	1			100					2	r12,qty=2							r13																																																																																							0
2 rune 13 -> rune 14	1			100					2	r13,qty=2							r14																																																																																							0
2 rune 14 -> rune 15	1			100					2	r14,qty=2							r15																																																																																							0
2 rune 15 -> rune 16	1			100					2	r15,qty=2							r16																																																																																							0
2 rune 16 -> rune 17	1			100					2	r16,qty=2							r17																																																																																							0
2 rune 17 -> rune 18	1			100					2	r17,qty=2							r18																																																																																							0
2 rune 18 -> rune 19	1			100					2	r18,qty=2							r19																																																																																							0
2 rune 19 -> rune 20	1			100					2	r19,qty=2							r20																																																																																							0
2 rune 20 -> rune 21	1			100					2	r20,qty=2							r21																																																																																							0
2 rune 21 -> rune 22	1			100					2	r21,qty=2							r22																																																																																							0
2 rune 22 -> rune 23	1			100					2	r22,qty=2							r23																																																																																							0
2 rune 23 -> rune 24	1			100					2	r23,qty=2							r24																																																																																							0
2 rune 24 -> rune 25	1			100					2	r24,qty=2							r25																																																																																							0
2 rune 25 -> rune 26	1			100					2	r25,qty=2							r26																																																																																							0
2 rune 26 -> rune 27	1			100					2	r26,qty=2							r27																																																																																							0
2 rune 27 -> rune 28	1			100					2	r27,qty=2							r28																																																																																							0
2 rune 28 -> rune 29	1			100					2	r28,qty=2							r29																																																																																							0
2 rune 29 -> rune 30	1			100					2	r29,qty=2							r30																																																																																							0
2 rune 30 -> rune 31	1			100					2	r30,qty=2							r31																																																																																							0
2 rune 31 -> rune 32	1			100					2	r31,qty=2							r32																																																																																							0
2 rune 32 -> rune 33	1			100					2	r32,qty=2							r33																																																																																							0
*****Reroll Recipes*****																																																																																																								0
3 perfect gems + 1 magic item -> magic item	1			100					4	any,mag	gem4,qty=3						usetype,mag		100																																																																																					0
3 perfect gems + 1 unique item -> regenerate unique item	1			100					4	any,uni	gem4,qty=3						useitem,reg																																																																																							0
3 perfect gems + 1 set item -> regenerate set item	1			100					4	any,set	gem4,qty=3						useitem,reg																																																																																							0
3 perfect skull + 1 rare item -> 1 high level rare item	1			0					4	any,rar	skz,qty=3						usetype,rar		66	66																																																																																				0
weapon + Hellfire Torch + Annihilus + SoJ -> unique weapon	1			100					4	weap	Hellfire Torch	Annihilus	The Stone of Jordan				usetype,uni	99																																																																																						0
armor + Hellfire Torch + Annihilus + SoJ -> unique armor	1			100					4	armo	Hellfire Torch	Annihilus	The Stone of Jordan				usetype,uni	99																																																																																						0
weapon + Hellfire Torch + Annihilus + Zod rune -> set weapon	1			100					4	weap	Hellfire Torch	Annihilus	r33				usetype,set	99																																																																																						0
armor + Hellfire Torch + Annihilus + Zod rune -> set armor	1			100					4	armo	Hellfire Torch	Annihilus	r33				usetype,set	99																																																																																						0
*****Utility Recipes*****																																																																																																								0
r08 + weapon -> repair + recharge	1			100					2	weap	r08						useitem,rep,rch,qty=255																																																																																							0
r08 + armor -> repair + recharge	1			100					2	armo	r08						useitem,rep,rch,qty=255																																																																																							0
r15 + tsc + any socketed item -> unsocket item (keep gems)	1			100					3	any,sock	r15	tsc					useitem,rem																																																																																							0
*****Runeword Prep Recipes*****																																																																																																								0
any weapon + 3 jewels -> normal, unsocketed, nonethereal weapon	1			100					4	weap	jew,qty=3						usetype,nor,nos,noe		100																																																																																					0
any armor + 3 jewels -> normal, unsocketed, nonethereal armor	1			100					4	armo	jew,qty=3						usetype,nor,nos,noe		100																																																																																					0
Eth(r05) + normal weapon -> ethereal weapon	1			100					2	weap,nor,nos	r05						usetype,eth,nor,nos		100																																																																																					0
Eth(r05) + normal armor -> ethereal armor	1			100					2	armo,nor,nos	r05						usetype,eth,nor,nos		100																																																																																					0
Normal weapon + 4 pgem -> 6 sockets	1			100					5	weap,nor,nos	gem4,qty=4						useitem				sock			6	6																																																																															0
Normal weapon + 3 pgem + 1 flawless -> 5 sockets	1			100					5	weap,nor,nos	gem4,qty=3	gem3					useitem				sock			5	5																																																																															0
Normal weapon + 3 pgem -> 4 sockets	1			100					4	weap,nor,nos	gem4,qty=3						useitem				sock			4	4																																																																															0
Normal weapon + 2 pgem + 1 flawless -> 3 sockets	1			100					4	weap,nor,nos	gem4,qty=2	gem3					useitem				sock			3	3																																																																															0
Normal weapon + 2 pgem -> 2 sockets	1			100					3	weap,nor,nos	gem4,qty=2						useitem				sock			2	2																																																																															0
Normal torso + 3 pgem -> 4 sockets	1			100					4	tors,nor,nos	gem4,qty=3						useitem				sock			4	4																																																																															0
Normal torso + 2 pgem + 1 flawless -> 3 sockets	1			100					4	tors,nor,nos	gem4,qty=2	gem3					useitem				sock			3	3																																																																															0
Normal torso + 2 pgem -> 2 sockets	1			100					3	tors,nor,nos	gem4,qty=2						useitem				sock			2	2																																																																															0
Normal shield + 3 pgem -> 4 sockets	1			100					4	shld,nor,nos	gem4,qty=3						useitem				sock			4	4																																																																															0
Normal shield + 2 pgem + 1 flawless -> 3 sockets	1			100					4	shld,nor,nos	gem4,qty=2	gem3					useitem				sock			3	3																																																																															0
Normal shield + 2 pgem -> 2 sockets	1			100					3	shld,nor,nos	gem4,qty=2						useitem				sock			2	2																																																																															0
Normal helm + 2 pgem + 1 flawless -> 3 sockets	1			100					4	helm,nor,nos	gem4,qty=2	gem3					useitem				sock			3	3																																																																															0
Normal helm + 2 pgem -> 2 sockets	1			100					3	helm,nor,nos	gem4,qty=2						useitem				sock			2	2																																																																															0
*****Item Upgrade Recipes*****																																																																																																								0
3 perfect skull + 1 magic item + unique ring -> add 2 socket to magic item	1			100					5	any,mag,nos	skz,qty=3	rin,uni					useitem,sock=2																																																																																							0
3 perfect skull + 1 rare item + unique ring -> add 1 socket to rare item	1			0					5	any,rar,nos	skz,qty=3	rin,uni					useitem,sock=1																																																																																							0
3 perfect skull + 1 set item + unique ring -> add 1 socket to set item	1			100					5	any,set,nos	skz,qty=3	rin,uni					useitem,sock=1																																																																																							0
3 perfect skull + 1 unique item + unique ring -> add 1 socket to unique item	1			100					5	any,uni,nos	skz,qty=3	rin,uni					useitem,sock=1																																																																																							0
3 pskull + 1 magic jewel + basic -> exceptional	1			100					5	weap,bas	skz,qty=3	jew,mag					useitem,mod,exc																																																																																							0
3 pskull + 1 magic jewel + basic -> exceptional	1			100					5	armo,bas	skz,qty=3	jew,mag					useitem,mod,exc																																																																																							0
3 pskull + 1 rare jewel + exceptional -> elite	1			100					5	weap,exc	skz,qty=3	jew,rare					useitem,mod,eli																																																																																							0
3 pskull + 1 rare jewel + exceptional -> elite	1			100					5	armo,exc	skz,qty=3	jew,rare					useitem,mod,eli																																																																																							0
3 pskul + Eth rune + unique weapon -> ethereal unique weapon	1			100					5	weap,uni	skz,qty=3	r05					usetype,eth,uni			100																																																																																				0
3 pskul + Eth rune + unique armor -> ethereal unique armor	1			100					5	armo,uni	skz,qty=3	r05					usetype,eth,uni			100																																																																																				0
*****Token, Anni, and Torch Recipes*****																																																																																																								0
Keys -> Annihilus	1			100					3	pk1	pk2	pk3					Annihilus	99																																																																																						0
Essences + Annihilus -> Hellfire Torch	1			100					5	Annihilus	tes	ceh	bet	fed			Hellfire Torch	99																																																																																						0
1 Wirt's leg + 1 identity book -> token of absolution	1			100					2	leg	ibk						toa																																																																																							0
Token of Absolution				100					4	tes	ceh	bet	fed				toa																																																																																							0
*****Crafting Recipes*****																																																																																																								0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			100					4	fhl,mag,upg	jew	r06	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	mbt,mag,upg	jew	r08	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	mgl,mag,upg	jew	r09	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	tbl,mag,upg	jew	r07	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
magic gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	gts,mag,upg	jew	r05	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
magic field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	fld,mag,upg	jew	r04	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
magic amulet + jewel + rune 10 + perfect sapphire -> hitpower amulet	1			100					4	amul,mag	jew	r10	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					4	ring,mag	jew	r11	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	blun,mag	jew	r03	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			100					4	hlm,mag,upg	jew	r08	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					4	tbt,mag,upg	jew	r05	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					4	vgl,mag,upg	jew	r04	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					4	mbl,mag,upg	jew	r07	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					4	spk,mag,upg	jew	r06	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					4	plt,mag,upg	jew	r10	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1			100					4	amul,mag	jew	r11	gpr				usetype,crf		50	50	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	1			100					4	ring,mag	jew	r12	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	1			100					4	axe,mag	jew	r09	gpr				usetype,crf		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	1			100					4	msk,mag,upg	jew	r04	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	1			100					4	lbt,mag,upg	jew	r10	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	1			100					4	lgl,mag,upg	jew	r09	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	1			100					4	vbl,mag,upg	jew	r06	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	1			100					4	sml,mag,upg	jew	r05	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1			100					4	ltp,mag,upg	jew	r07	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1			100					4	amul,mag	jew	r08	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1			100					4	ring,mag	jew	r11	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1			100					4	rod,mag	jew	r03	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1			100					4	crn,mag,upg	jew	r06	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1			100					4	hbt,mag,upg	jew	r09	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1			100					4	hgl,mag,upg	jew	r08	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1			100					4	lbl,mag,upg	jew	r07	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1			100					4	kit,mag,upg	jew	r04	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1			100					4	brs,mag,upg	jew	r05	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1			100					4	amul,mag	jew	r10	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1			100					4	ring,mag	jew	r11	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1			100					4	spea,mag	jew	r12	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
*****Debug Recipes*****																																																																																																								0
any weapon + scroll of identify -> normal, unsocketed, nonethereal weapon	1			100					2	weap	isc						usetype,nor,nos,noe		100																																																																																					0
any armor + scroll of identify -> normal, unsocketed, nonethereal armor	1			100					2	armo	isc						usetype,nor,nos,noe		100																																																																																					0
tsc + any socketed item -> unsocket item (keep gems)	1			100					2	any,sock	tsc						useitem,rem																																																																																							0
tbk + ibk -> Annihilus	1			100					2	tbk	ibk						Annihilus	100																																																																																						0
tbk + ibk + Annihilus -> Hellfire Torch	1			100					3	Annihilus	tbk	ibk					Hellfire Torch	100																																																																																						0
Eth(r05) + normal weapon -> r05 + ethereal weapon	1			100					2	weap,nor,nos	r05						usetype,eth,nor,nos		100																											r05																																																										0
Eth(r05) + normal armor -> ethereal armor	1			100					2	armo,nor,nos	r05						usetype,eth,nor,nos		100																											r05																																																										0
Normal weapon + 4 pgem -> 6 sockets	1			100					5	weap,nor,nos	hpot,qty=4						useitem				sock			6	6																																																																															0
Normal weapon + 3 pgem + 1 flawless -> 5 sockets	1			100					5	weap,nor,nos	hpot,qty=3	mpot					useitem				sock			5	5																																																																															0
Normal weapon + 3 pgem -> 4 sockets	1			100					4	weap,nor,nos	hpot,qty=3						useitem				sock			4	4																																																																															0
Normal weapon + 2 pgem + 1 flawless -> 3 sockets	1			100					4	weap,nor,nos	hpot,qty=2	mpot					useitem				sock			3	3																																																																															0
Normal weapon + 2 pgem -> 2 sockets	1			100					3	weap,nor,nos	hpot,qty=2						useitem				sock			2	2																																																																															0
Normal torso + 3 pgem -> 4 sockets	1			100					4	tors,nor,nos	hpot,qty=3						useitem				sock			4	4																																																																															0
Normal torso + 2 pgem + 1 flawless -> 3 sockets	1			100					4	tors,nor,nos	hpot,qty=2	mpot					useitem				sock			3	3																																																																															0
Normal torso + 2 pgem -> 2 sockets	1			100					3	tors,nor,nos	hpot,qty=2						useitem				sock			2	2																																																																															0
Normal shield + 3 pgem -> 4 sockets	1			100					4	shld,nor,nos	hpot,qty=3						useitem				sock			4	4																																																																															0
Normal shield + 2 pgem + 1 flawless -> 3 sockets	1			100					4	shld,nor,nos	hpot,qty=2	mpot					useitem				sock			3	3																																																																															0
Normal shield + 2 pgem -> 2 sockets	1			100					3	shld,nor,nos	hpot,qty=2						useitem				sock			2	2																																																																															0
Normal helm + 2 pgem + 1 flawless -> 3 sockets	1			100					4	helm,nor,nos	hpot,qty=2	mpot					useitem				sock			3	3																																																																															0
Normal helm + 2 pgem -> 2 sockets	1			100					3	helm,nor,nos	hpot,qty=2						useitem				sock			2	2																																																																															0
